time,key
1728370341.7546964,Key.up
1728370344.083278,Key.up
1728370344.6522765,Key.up
1728370345.0422778,Key.up
1728370345.9412754,Key.enter
1728370350.3854463,Key.enter
1728370357.634806,Key.backspace
1728370358.532994,Key.enter
1728370373.5504966,'t'
1728370373.8042338,'e'
1728370374.0066414,'s'
1728370374.1648908,'t'
1728370374.5020783,'2'
1728370376.8876786,<97>
1728370377.0903983,<98>
1728370377.2924173,<99>
1728370377.5646439,<100>
1728370377.8092113,<101>
1728370377.989173,<102>
1728370378.3277872,<103>
1728370378.5299888,<104>
1728370378.7099123,<105>
1728370380.9607713,<97>
1728370381.1399214,<98>
1728370381.3202155,<99>
1728370381.6347582,<100>
1728370381.859456,<101>
1728370382.0398698,<102>
1728370382.3325446,<103>
1728370382.5579524,<104>
1728370382.7606466,<105>
1728370384.98743,'1'
1728370385.1672785,'2'
1728370385.4157147,'3'
1728370385.7752054,'4'
1728370386.0001824,'5'
1728370386.2502763,'6'
1728370387.6423771,Key.shift_r
1728370387.7999098,'@'
1728370388.3856187,'q'
1728370388.5424547,'q'
1728370389.4649985,'.'
1728370389.713193,'c'
1728370389.9368708,'o'
1728370390.1397743,'m'
1728370405.5327885,'c'
1728370405.9811387,'1'
