时间,键鼠动作,键鼠持续时间,键鼠坐标,眼动动作,眼动持续时间,眼动坐标,状态,时间差,index
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464970,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:00,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464971,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:01,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:02,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:02,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:02,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:02,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:02,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:02,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Fast_saccade,"['1728464969.59', '1728464972.25', '2.6600000858306885']","['2034.26708984375', '1291.1776123046875', '1268.0496826171875', '788.9928588867188']",查找,0:00:02,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Slow_saccade,"['1728464972.26', '1728464973.72', '1.4600000381469727']","['2.6600000858306885', '2034.26708984375', '0.309999942779541', '956.5481567382812']",,0:00:02,1
1728464972,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Slow_saccade,"['1728464972.26', '1728464973.72', '1.4600000381469727']","['2.6600000858306885', '2034.26708984375', '0.309999942779541', '956.5481567382812']",,0:00:02,1
1728464973,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Slow_saccade,"['1728464972.26', '1728464973.72', '1.4600000381469727']","['2.6600000858306885', '2034.26708984375', '0.309999942779541', '956.5481567382812']",,0:00:02,1
1728464973,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Slow_saccade,"['1728464972.26', '1728464973.72', '1.4600000381469727']","['2.6600000858306885', '2034.26708984375', '0.309999942779541', '956.5481567382812']",,0:00:03,1
1728464973,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Slow_saccade,"['1728464972.26', '1728464973.72', '1.4600000381469727']","['2.6600000858306885', '2034.26708984375', '0.309999942779541', '956.5481567382812']",,0:00:03,1
1728464973,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Slow_saccade,"['1728464972.26', '1728464973.72', '1.4600000381469727']","['2.6600000858306885', '2034.26708984375', '0.309999942779541', '956.5481567382812']",,0:00:03,1
1728464973,Hover,"['1728464967.6', '1728464973.44', '5.840000152587891']",,Slow_saccade,"['1728464972.26', '1728464973.72', '1.4600000381469727']","['2.6600000858306885', '2034.26708984375', '0.309999942779541', '956.5481567382812']",,0:00:03,1
