 ±º‰,º¸ Û∂Ø◊˜,º¸ Û≥÷–¯ ±º‰,º¸ Û◊¯±Í,—€∂Ø∂Ø◊˜,—€∂Ø≥÷–¯ ±º‰,—€∂Ø◊¯±Í,◊¥Ã¨, ±º‰≤Ó, operationId,"	page","	module","	widget","	startTimeTick","	duration",
1729563162,Hover,"['1729563162.26', '1729563162.45', '0.19000005722045898']",,Fast_saccade,"['1729563162.39', '1729563163.03', '0.6399998664855957']","['353.1245422363281', '902.5855712890624', '980.907470703125', '87.03085327148438']",≤È’“,0:00:00,,,,,,,
1729563163,Hover,"['1729563162.26', '1729563162.45', '0.19000005722045898']",,Fast_saccade,"['1729563162.39', '1729563163.03', '0.6399998664855957']","['353.1245422363281', '902.5855712890624', '980.907470703125', '87.03085327148438']",≤È’“,0:00:00,,,,,,,
1729563163,Fast_move,"['1729563162.51', '1729563162.87', '0.3599998950958252']","['-205.0', '190.0', '-543.0', '139.0']",Fast_saccade,"['1729563162.39', '1729563163.03', '0.6399998664855957']","['353.1245422363281', '902.5855712890624', '980.907470703125', '87.03085327148438']",≤È’“,0:00:00,,,,,,,
1729563163,Fast_move,"['1729563162.51', '1729563162.87', '0.3599998950958252']","['-205.0', '190.0', '-543.0', '139.0']",Fast_saccade,"['1729563162.39', '1729563163.03', '0.6399998664855957']","['353.1245422363281', '902.5855712890624', '980.907470703125', '87.03085327148438']",≤È’“,0:00:00,,,,,,,
1729563163,Fast_move,"['1729563162.51', '1729563162.87', '0.3599998950958252']","['-205.0', '190.0', '-543.0', '139.0']",Fast_saccade,"['1729563162.39', '1729563163.03', '0.6399998664855957']","['353.1245422363281', '902.5855712890624', '980.907470703125', '87.03085327148438']",≤È’“,0:00:00,,,,,,,
1729563163,Fast_move,"['1729563162.51', '1729563162.87', '0.3599998950958252']","['-205.0', '190.0', '-543.0', '139.0']",Fast_saccade,"['1729563162.39', '1729563163.03', '0.6399998664855957']","['353.1245422363281', '902.5855712890624', '980.907470703125', '87.03085327148438']",≤È’“,0:00:00,,,,,,,
1729563163,Fast_move,"['1729563162.95', '1729563163.17', '0.2200000286102295']","['-584.0', '151.0', '-916.0', '6.0']",Fast_saccade,"['1729563162.39', '1729563163.03', '0.6399998664855957']","['353.1245422363281', '902.5855712890624', '980.907470703125', '87.03085327148438']",≤È’“,0:00:00,,,,,,,
1729563163,Fast_move,"['1729563162.95', '1729563163.17', '0.2200000286102295']","['-584.0', '151.0', '-916.0', '6.0']",Slow_saccade,"['1729563163.04', '1729563163.53', '0.49000000953674316']","['0.6399998664855957', '353.1245422363281', '0.6000001430511475', '1068.791748046875']",”Ã‘•,0:00:00,,,,,,,
1729563163,Fast_move,"['1729563162.95', '1729563163.17', '0.2200000286102295']","['-584.0', '151.0', '-916.0', '6.0']",Slow_saccade,"['1729563163.04', '1729563163.53', '0.49000000953674316']","['0.6399998664855957', '353.1245422363281', '0.6000001430511475', '1068.791748046875']",”Ã‘•,0:00:00,,,,,,,
1729563163,Slow_move,"['1729563163.18', '1729563163.42', '0.24000000953674316']","['-914', '6', '-1009', '154']",Slow_saccade,"['1729563163.04', '1729563163.53', '0.49000000953674316']","['0.6399998664855957', '353.1245422363281', '0.6000001430511475', '1068.791748046875']",,0:00:00,,,,,,,
1729563163,Slow_move,"['1729563163.18', '1729563163.42', '0.24000000953674316']","['-914', '6', '-1009', '154']",Slow_saccade,"['1729563163.04', '1729563163.53', '0.49000000953674316']","['0.6399998664855957', '353.1245422363281', '0.6000001430511475', '1068.791748046875']",,0:00:01,,,,,,,
1729563164,Slow_move,"['1729563163.54', '1729563163.69', '0.15000009536743164']","['-1009', '153', '-1079', '149']",Fixation,"['1729563163.54', '1729563164.14', '0.6000001430511475']","['1068.791748046875', '197.55148315429688']",,0:00:01,,,,,,,
